name,category,readiness,stage,technical,marketing,content,total,valuation
fishkeeper.ai,SaaS,87,Beta,38,29,20,87,£100k-£250k
KoiKeeper.ai,SaaS,81,Beta,38,28,15,81,£100k-£250k
grabhire.ai,SaaS,67,Beta,30,25,12,67,£1.5M-£2.5M
muckaway.ai,SaaS,66,Beta,36,23,7,66,£1.5M-£2.5M
optimobile.ai,SaaS,65,Production,25,24,16,65,£1.5M-£2.5M
councilof.ai,AI Safety,65,Beta,25,20,20,65,£1.5M-£2.5M
optimobile.ai,AI Safety,63,Beta,25,20,18,63,£1.5M-£2.5M
proofof.ai,SaaS,62,Beta,40,22,20,62,£1.5M-£2.5M
landlaw.ai,SaaS,58,Production,33,22,3,58,£1.0M-£3.0M
loopfactory.ai,SaaS,58,Alpha,20,18,20,58,£10k-£25k
proofof.ai,AI Safety,55,Beta,20,20,15,55,£1.5M-£2.5M
pokerhud.ai,SaaS,48,Beta,28,10,10,48,£50k-£100k
transparencyof.ai,AI Safety,45,Beta,25,20,,45,£250k-£500k
planthire.ai,SaaS,40,Alpha,20,15,5,40,£10k-£20k
jabulon.ai,AI Safety,35,Beta,,20,15,35,£50k-£150k
biasdetectionof.ai,AI Safety,30,Alpha,10,20,,30,£10k-£50k
ethicalgovernanceof.ai,AI Safety,30,Alpha,10,20,,30,£10k-£50k
commercialvehicle.ai,SaaS,26,Alpha,11,14,1,26,£10k-£25k
planthire.ai,AI Safety,25,Alpha,5,15,5,25,£0k-£10k
safetyof.ai,AI Safety,25,Alpha,5,20,,25,£10k-£25k
accountabilityof.ai,AI Safety,23,Alpha,5,18,,23,£5k-£15k
agisafe.ai,AI Safety,22,Alpha,2,20,,22,£10k-£50k
asisecurity.ai,AI Safety,20,Alpha,,20,,20,£10k-£50k
suicidestop.ai,AI Safety,18,Alpha,,18,,18,£0k-£50k
dataprivacyof.ai,AI Safety,15,Alpha,,15,,15,£0k-£0k
